r_m,Bx_T,By_T,Bz_T,Brho_xy_T
9.424999999999998700e-05,0.000000000000000000e+00,0.000000000000000000e+00,9.691819844059493572e-06,0.000000000000000000e+00
9.787499999999999380e-05,0.000000000000000000e+00,0.000000000000000000e+00,9.692304714103858404e-06,0.000000000000000000e+00
1.014999999999999870e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.692807934984727425e-06,0.000000000000000000e+00
1.051249999999999938e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.693329513897965699e-06,0.000000000000000000e+00
1.087499999999999871e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.693869458303426274e-06,0.000000000000000000e+00
1.123749999999999939e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.694427775925124670e-06,0.000000000000000000e+00
1.159999999999999871e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.695004474751653923e-06,0.000000000000000000e+00
1.196249999999999804e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.695599563036409898e-06,0.000000000000000000e+00
1.232499999999999872e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.696213049297919934e-06,0.000000000000000000e+00
1.268749999999999804e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.696844942320142702e-06,0.000000000000000000e+00
1.304999999999999737e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.697495251152837500e-06,0.000000000000000000e+00
1.341249999999999940e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.698163985111882748e-06,0.000000000000000000e+00
1.377499999999999873e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.698851153779604629e-06,0.000000000000000000e+00
1.413749999999999805e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.699556767005159953e-06,0.000000000000000000e+00
1.449999999999999737e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.700280834904893601e-06,0.000000000000000000e+00
1.486249999999999941e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.701023367862787457e-06,0.000000000000000000e+00
1.522499999999999873e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.701784376530706041e-06,0.000000000000000000e+00
1.558749999999999806e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.702563871828918289e-06,0.000000000000000000e+00
1.594999999999999738e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.703361864946490571e-06,0.000000000000000000e+00
1.631249999999999942e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.704178367341628894e-06,0.000000000000000000e+00
1.667499999999999874e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.705013390742241329e-06,0.000000000000000000e+00
1.703749999999999807e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.705866947146276832e-06,0.000000000000000000e+00
1.739999999999999739e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.706739048822187716e-06,0.000000000000000000e+00
1.776249999999999672e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.707629708309441259e-06,0.000000000000000000e+00
1.812499999999999875e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.708538938418950006e-06,0.000000000000000000e+00
1.848749999999999808e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.709466752233585058e-06,0.000000000000000000e+00
1.884999999999999740e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.710413163108619927e-06,0.000000000000000000e+00
1.921249999999999672e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.711378184672325150e-06,0.000000000000000000e+00
1.957499999999999876e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.712361830826369782e-06,0.000000000000000000e+00
1.993749999999999808e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.713364115746439729e-06,0.000000000000000000e+00
2.029999999999999741e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.714385053882761218e-06,0.000000000000000000e+00
2.066249999999999673e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.715424659960558191e-06,0.000000000000000000e+00
2.102499999999999877e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.716482948980745182e-06,0.000000000000000000e+00
2.138749999999999809e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.717559936220403343e-06,0.000000000000000000e+00
2.174999999999999742e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.718655637233378458e-06,0.000000000000000000e+00
2.211249999999999674e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.719770067850897575e-06,0.000000000000000000e+00
2.247499999999999878e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.720903244182160240e-06,0.000000000000000000e+00
2.283749999999999810e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.722055182614912784e-06,0.000000000000000000e+00
2.319999999999999743e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.723225899816124253e-06,0.000000000000000000e+00
2.356249999999999675e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.724415412732596276e-06,0.000000000000000000e+00
2.392499999999999607e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.725623738591615276e-06,0.000000000000000000e+00
2.428749999999999811e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.726850894901589443e-06,0.000000000000000000e+00
2.464999999999999743e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.728096899452755156e-06,0.000000000000000000e+00
2.501249999999999676e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.729361770317813954e-06,0.000000000000000000e+00
2.537499999999999608e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.730645525852671146e-06,0.000000000000000000e+00
2.573749999999999541e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.731948184697057538e-06,0.000000000000000000e+00
2.609999999999999473e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.733269765775356131e-06,0.000000000000000000e+00
2.646249999999999948e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.734610288297232319e-06,0.000000000000000000e+00
2.682499999999999880e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.735969771758392827e-06,0.000000000000000000e+00
2.718749999999999813e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.737348235941371759e-06,0.000000000000000000e+00
2.754999999999999745e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.738745700916245495e-06,0.000000000000000000e+00
2.791249999999999678e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.740162187041425510e-06,0.000000000000000000e+00
2.827499999999999610e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.741597714964437649e-06,0.000000000000000000e+00
2.863749999999999542e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.743052305622701393e-06,0.000000000000000000e+00
2.899999999999999475e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.744525980244380284e-06,0.000000000000000000e+00
